date,time,source_ip,http_method,path,attack_type,raw_log
2026-01-15,14:19:12,192.168.1.16,GET,/admin/doeditconfig.php?config%5Bpath%5D&thispath=../includes,unknown,"2026-01-15 14:19:12,933 (glastopf.glastopf) 192.168.1.16 requested GET /admin/doeditconfig.php?config%5Bpath%5D&thispath=../includes on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/index2.php?corpo,unknown,"2026-01-15 14:19:12,957 (glastopf.glastopf) 192.168.1.16 requested GET /index2.php?corpo on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/faxsurvey,unknown,"2026-01-15 14:19:12,976 (glastopf.glastopf) 192.168.1.16 requested GET /faxsurvey on 192.168.1.11:8080"
2026-01-15,14:19:12,192.168.1.16,GET,/page.php?modo,unknown,"2026-01-15 14:19:12,988 (glastopf.glastopf) 192.168.1.16 requested GET /page.php?modo on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:12,831 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /manage/cgi/cgiproc]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,035 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /standard.php?lang]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,062 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /index2.php?incl]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,094 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /storie.php?id]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,124 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /cgiirc.config]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,155 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /*.php?f]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,175 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /start.php?tipo]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,196 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /start.php?in]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,220 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /admin/doeditconfig.php?config%5Bpath%5D&thispath=../includes]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,258 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /index2.php?corpo]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,282 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /faxsurvey]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,382 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /page.php?modo]"
2026-01-15,14:19:13,192.168.1.16,GET,/old_reports.php?file,unknown,"2026-01-15 14:19:13,384 (glastopf.glastopf) 192.168.1.16 requested GET /old_reports.php?file on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,444 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /old_reports.php?file]"
2026-01-15,14:19:13,192.168.1.16,GET,/gallery.php?pname,unknown,"2026-01-15 14:19:13,447 (glastopf.glastopf) 192.168.1.16 requested GET /gallery.php?pname on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/base.php?mid,unknown,"2026-01-15 14:19:13,468 (glastopf.glastopf) 192.168.1.16 requested GET /base.php?mid on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/print.php?dir,unknown,"2026-01-15 14:19:13,490 (glastopf.glastopf) 192.168.1.16 requested GET /print.php?dir on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/pages.php?page,unknown,"2026-01-15 14:19:13,511 (glastopf.glastopf) 192.168.1.16 requested GET /pages.php?page on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/home.php?t,unknown,"2026-01-15 14:19:13,537 (glastopf.glastopf) 192.168.1.16 requested GET /home.php?t on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/cgi-bin/search97.vts,unknown,"2026-01-15 14:19:13,553 (glastopf.glastopf) 192.168.1.16 requested GET /cgi-bin/search97.vts on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,602 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /gallery.php?pname]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,620 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /base.php?mid]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,655 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /print.php?dir]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,683 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /pages.php?page]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,701 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /home.php?t]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,722 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58890 against 192.168.1.11:8080.[GET /cgi-bin/search97.vts]"
2026-01-15,14:19:13,192.168.1.16,GET,/viewtopic.php?f,unknown,"2026-01-15 14:19:13,725 (glastopf.glastopf) 192.168.1.16 requested GET /viewtopic.php?f on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/index2.php?filepath,unknown,"2026-01-15 14:19:13,734 (glastopf.glastopf) 192.168.1.16 requested GET /index2.php?filepath on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/redirect.cgi,unknown,"2026-01-15 14:19:13,764 (glastopf.glastopf) 192.168.1.16 requested GET /redirect.cgi on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/sub*.php?basepath,unknown,"2026-01-15 14:19:13,784 (glastopf.glastopf) 192.168.1.16 requested GET /sub*.php?basepath on 192.168.1.11:8080"
2026-01-15,14:19:13,192.168.1.16,GET,/standard.php?pr,unknown,"2026-01-15 14:19:13,820 (glastopf.glastopf) 192.168.1.16 requested GET /standard.php?pr on 192.168.1.11:8080"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,880 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58866 against 192.168.1.11:8080.[GET /viewtopic.php?f]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,904 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58876 against 192.168.1.11:8080.[GET /index2.php?filepath]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,941 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58908 against 192.168.1.11:8080.[GET /redirect.cgi]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,970 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58880 against 192.168.1.11:8080.[GET /sub*.php?basepath]"
,,192.168.1.16,,,unknown,"2026-01-15 14:19:13,992 (python-logstash-handler) Glaspot: unknown attack method from 192.168.1.16:58898 against 192.168.1.11:8080.[GET /standard.php?pr]"
2026-01-15,14:19:13,192.168.1.16,GET,/item_details.asp?catid,unknown,"2026-01-15 14:19:13,994 (glastopf.glastopf) 192.168.1.16 requested GET /item_details.asp?catid on 192.168.1.11:8080"
2026-01-15,14:19:14,192.168.1.16,GET,/tools/send_reminders.php?includedir,unknown,"2026-01-15 14:19:14,020 (glastopf.glastopf) 192.168.1.16 requested GET /tools/send_reminders.php?includedir on 192.168.1.11:8080"
2026-01-15,14:19:14,192.168.1.16,GET,/template.php?left,unknown,"2026-01-15 14:19:14,085 (glastopf.glastopf) 192.168.1.16 requested GET /template.php?left on 192.168.1.11:8080"
